userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
lexisChapin850,lexisChapin850,NY,Smithtown High School   Western Campus,Smithtown,NY,2.7,2024,Political Science,Mathematics,590,610,24,22,27,23,20,620,600,540,600,540,540,570,570,570,9
abigaleHashimoto5791,abigaleHashimoto5791,NY,Saint Anthonys High School,Huntington Station,NY,3.7,2024,Physics,Mathematics,720,790,35,31,31,31,29,760,710,760,740,800,790,770,700,760,6
diahannOgawa3090,diahannOgawa3090,NY,Smithtown High School   Western Campus,Smithtown,NY,3.3,2024,Computer Science,Mathematics,760,760,32,36,36,34,32,740,740,730,780,780,770,740,730,730,7
delphiniaBabbette267,delphiniaBabbette267,NY,Walter G Oconnell Copiague High School,Copiague,NY,2.8,2024,Geology,Art History,650,620,25,24,24,21,20,610,550,610,600,570,660,590,610,610,1
norahScurlock8707,norahScurlock8707,NY,Rocky Point High School,Rocky Point,NY,3.0,2024,Physics,Chemistry,740,760,32,26,25,35,30,710,720,730,740,780,720,750,770,740,8
gabbieAshti6116,gabbieAshti6116,NY,Greenport High School,Greenport,NY,3.6,2024,Music Theory,Physics,760,780,29,30,36,34,34,730,750,780,680,680,750,790,800,730,4
tessPasco285,tessPasco285,NY,Pierson Middle High School,Sag Harbor,NY,2.5,2024,Computer Science,Mathematics,620,600,29,26,28,28,20,610,700,630,620,720,630,670,620,670,3
linetHastie1200,linetHastie1200,NY,Hauppauge High School,Hauppauge,NY,3.5,2024,History,Physics,720,690,32,30,30,35,29,770,760,740,800,740,780,780,800,760,9
lindseyMayda5181,lindseyMayda5181,NY,Newfield High School,Selden,NY,2.3,2024,Biology,History,460,480,22,23,18,21,18,540,480,500,560,470,510,500,500,520,3
wrenLeandra9466,wrenLeandra9466,NY,Sayville High School,West Sayville,NY,2.8,2024,Computer Science,Chemistry,610,560,20,18,31,27,21,520,620,610,630,610,580,560,570,580,5
gussieBlackburn5095,gussieBlackburn5095,NY,Cold Spring Harbor High School,Cold Spring Harbor,NY,3.1,2024,Physics,History,670,670,27,29,30,30,29,660,660,640,680,680,620,670,680,660,7
constantaAreta8098,constantaAreta8098,NY,Eastport South Manor Junior Senior High School,Manorville,NY,3.0,2024,Physics,History,700,750,36,30,33,21,28,690,720,670,670,750,680,740,740,620,1
lydaLuing7636,lydaLuing7636,NY,Centereach High School,Centereach,NY,2.7,2024,Political Science,Biology,620,570,20,29,19,25,22,570,590,570,580,600,580,520,620,590,5
brigittaKimberli6424,brigittaKimberli6424,NY,Bay Shore Senior High School,Bay Shore,NY,2.3,2024,Biology,Art History,520,560,20,21,24,25,23,540,590,560,560,550,600,550,550,580,3
shandieDarrell1741,shandieDarrell1741,NY,Lindenhurst Senior High School,Lindenhurst,NY,3.5,2024,Music Theory,Chemistry,710,670,32,33,32,35,26,720,730,720,700,760,690,770,740,730,8
shelaghAttenweiler2298,shelaghAttenweiler2298,NY,Connetquot High School,Bohemia,NY,2.5,2024,Physics,Geology,580,540,23,21,25,20,21,530,510,530,570,540,530,580,600,480,8
juliaGawen3390,juliaGawen3390,NY,Center Moriches High School,Center Moriches,NY,2.1,2024,Computer Science,Physics,470,540,22,20,21,18,19,550,540,510,570,490,530,540,560,560,0
ulrikeHildick7886,ulrikeHildick7886,NY,East Hampton High School,East Hampton,NY,2.4,2024,Computer Science,Geology,570,460,22,18,22,18,13,490,440,540,520,530,510,520,460,510,4
robinettaChrisy4522,robinettaChrisy4522,NY,John H Glenn High School,Elwood,NY,3.2,2024,Computer Science,Biology,630,620,30,28,25,27,24,620,640,650,650,630,640,620,670,630,6
dioneAshia174,dioneAshia174,NY,Connetquot High School,Bohemia,NY,3.1,2024,Geology,Biology,720,730,31,35,31,28,34,680,760,770,690,700,780,710,730,730,1
gwendolinMusetta7200,gwendolinMusetta7200,NY,The Knox School,St James,NY,2.4,2024,Geology,Chemistry,600,650,26,25,22,24,26,610,590,650,650,640,590,630,640,630,5
melodieAvelin6586,melodieAvelin6586,NY,Comsewogue High School,Port Jefferson Sta,NY,3.4,2024,History,Computer Science,700,700,28,25,21,23,27,690,710,740,650,710,750,670,710,670,5
mellaAharon717,mellaAharon717,NY,Walt Whitman High School,Huntington Station,NY,1.8,2024,Computer Science,Political Science,330,420,12,12,15,13,12,350,360,360,380,350,370,370,440,370,8
libRuthanne7796,libRuthanne7796,NY,West Islip Senior High School,West Islip,NY,2.2,2024,Geology,Biology,580,610,22,21,23,27,24,650,640,610,650,650,560,610,640,640,4
lianneBerner4224,lianneBerner4224,NY,Sayville High School,West Sayville,NY,3.1,2024,History,Political Science,640,640,26,28,27,26,26,650,630,690,650,630,660,660,690,660,9
pepitaLeverick8091,pepitaLeverick8091,NY,Babylon Junior Senior High School,Babylon,NY,3.0,2024,Music Theory,Geology,670,610,21,26,29,29,18,610,670,670,570,630,650,580,620,670,8
caciliaDian3667,caciliaDian3667,NY,Northport Senior High School,Northport,NY,3.0,2024,Physics,Chemistry,700,650,32,34,34,32,28,690,720,710,750,710,690,770,690,740,8
rianonDaveta6817,rianonDaveta6817,NY,William Floyd High School,Mastic Beach,NY,3.0,2024,Computer Science,Political Science,710,750,35,30,26,26,27,750,760,720,690,670,740,730,710,780,9
gwendolinZalea1193,gwendolinZalea1193,NY,Miller Place High School,Miller Place,NY,3.2,2024,Art History,Biology,640,610,25,34,30,29,30,700,660,700,670,710,630,640,710,670,6
hyacintheMartel7701,hyacintheMartel7701,NY,John H Glenn High School,Elwood,NY,1.9,2024,Art History,Biology,500,470,15,18,15,16,22,420,440,470,450,470,500,480,490,510,1
keelyAlexi3041,keelyAlexi3041,NY,Smithtown High School East,Saint James,NY,3.0,2024,Political Science,Chemistry,610,580,29,25,22,26,23,680,650,630,620,610,600,660,610,630,4
krystynaMukerji5817,krystynaMukerji5817,NY,Mount Sinai High School,Mount Sinai,NY,2.3,2024,Computer Science,Art History,540,500,16,22,18,18,18,470,480,490,490,500,500,490,500,440,0
marybelleJanelle7248,marybelleJanelle7248,NY,Saint Anthonys High School,Huntington Station,NY,2.1,2024,Geology,Computer Science,460,490,20,20,17,12,16,460,500,520,500,480,520,490,430,490,3
ardeneMaurilla8134,ardeneMaurilla8134,NY,Southampton High School,Southampton,NY,1.9,2024,Chemistry,Computer Science,420,420,10,19,20,14,14,420,380,400,420,380,440,430,390,480,2
jerryleeSteward340,jerryleeSteward340,NY,Mount Sinai High School,Mount Sinai,NY,2.8,2024,Geology,Physics,750,700,31,26,31,28,30,650,700,660,660,630,680,670,680,630,9
zoraGiaimo7589,zoraGiaimo7589,NY,Rocky Point High School,Rocky Point,NY,3.0,2024,Political Science,Geology,640,640,27,34,23,22,21,600,630,630,650,640,660,630,710,540,4
abagailGathard8425,abagailGathard8425,NY,Sayville High School,West Sayville,NY,3.6,2024,Political Science,Biology,780,770,36,30,32,36,27,770,790,710,800,760,800,700,770,770,6
miguelitaFannie2113,miguelitaFannie2113,NY,Commack High School,Commack,NY,2.6,2024,Chemistry,History,560,540,23,21,20,19,21,560,580,610,520,530,520,500,550,530,0
maggeeBinky3574,maggeeBinky3574,NY,Huntington High School,Huntington,NY,2.3,2024,Computer Science,History,480,490,18,15,18,16,18,510,490,510,480,490,490,520,470,530,9
vanessaSandor3858,vanessaSandor3858,NY,Hauppauge High School,Hauppauge,NY,2.5,2024,Physics,Music Theory,570,580,25,17,24,22,21,520,570,540,510,580,580,490,520,570,8
meggiePell4861,meggiePell4861,NY,Northport Senior High School,Northport,NY,3.3,2024,Political Science,Biology,760,690,25,27,26,30,31,760,690,740,720,680,690,660,790,710,5
evangelinaModeste7797,evangelinaModeste7797,NY,Earl L Vandermeulen High School,Port Jefferson,NY,2.3,2024,Physics,Mathematics,500,480,15,22,19,17,24,500,510,500,550,500,560,490,550,480,0
marianaNorry3243,marianaNorry3243,NY,Earl L Vandermeulen High School,Port Jefferson,NY,2.0,2024,Art History,Chemistry,530,530,17,18,19,19,21,470,470,560,550,520,500,500,520,500,1
melisaChapen7978,melisaChapen7978,NY,Sachem High School North,Lake Ronkonkoma,NY,1.9,2024,Political Science,Chemistry,450,460,19,15,22,18,19,500,490,520,470,540,460,500,510,450,3
ariellaKrug5917,ariellaKrug5917,NY,Rocky Point High School,Rocky Point,NY,3.2,2024,Art History,Political Science,710,710,29,28,24,33,34,720,690,670,690,720,680,650,710,690,8
marthaBab4861,marthaBab4861,NY,North Babylon High School,North Babylon,NY,3.4,2024,Geology,History,670,710,28,27,23,26,30,750,720,660,720,710,790,710,690,720,5
taniaPotts8028,taniaPotts8028,NY,Riverhead Senior High School,Riverhead,NY,2.6,2024,Physics,Music Theory,640,670,23,21,28,25,24,600,620,620,640,650,640,680,620,590,7
deliaCollum8876,deliaCollum8876,NY,Westhampton Beach Senior High School,Westhampton Beach,NY,2.9,2024,Mathematics,Biology,620,640,29,26,26,27,28,620,620,650,640,650,690,660,630,670,2
amandiAmye2909,amandiAmye2909,NY,Bellport Senior High School,Brookhaven,NY,3.0,2024,Biology,Physics,650,560,29,25,19,22,26,620,670,550,590,650,630,620,560,600,0
mercedesMerrili5501,mercedesMerrili5501,NY,Cold Spring Harbor High School,Cold Spring Harbor,NY,3.0,2024,Chemistry,Computer Science,700,710,27,28,27,24,22,710,690,640,680,690,630,670,640,640,5
maireGarrity7214,maireGarrity7214,NY,East Islip High School,Islip Terrace,NY,2.6,2024,Physics,Computer Science,630,570,27,25,22,24,20,620,570,620,610,620,600,650,580,600,4
giuliaPetulia9862,giuliaPetulia9862,NY,Center Moriches High School,Center Moriches,NY,3.2,2024,Music Theory,History,720,630,28,27,27,25,27,700,660,670,700,610,700,720,670,680,9
dollieMacNamara8930,dollieMacNamara8930,NY,Huntington High School,Huntington,NY,2.2,2024,Mathematics,Music Theory,520,470,14,17,14,16,23,420,510,480,450,470,410,440,530,480,3
dottyMarylin2547,dottyMarylin2547,NY,William Floyd High School,Mastic Beach,NY,2.3,2024,Physics,Mathematics,500,590,23,24,24,19,20,570,600,580,570,570,560,590,580,510,2
benniClardy7382,benniClardy7382,NY,Cold Spring Harbor High School,Cold Spring Harbor,NY,2.7,2024,Chemistry,Geology,620,580,23,21,19,22,25,570,570,520,520,580,530,600,590,530,0
phillieGrunberg5927,phillieGrunberg5927,NY,Shoreham Wading River High School,Shoreham,NY,2.9,2024,Physics,Art History,620,560,21,24,20,23,21,610,580,550,590,570,560,570,610,540,3
samariaThorvald8084,samariaThorvald8084,NY,East Hampton High School,East Hampton,NY,2.5,2024,Political Science,Art History,560,540,22,19,23,23,29,480,540,580,590,570,540,550,600,570,0
maureneBertina2931,maureneBertina2931,NY,Sachem High School North,Lake Ronkonkoma,NY,1.9,2024,Geology,Political Science,460,400,13,16,19,17,20,470,520,470,450,440,440,450,440,500,6
faraBlum754,faraBlum754,NY,Rocky Point High School,Rocky Point,NY,3.0,2024,Mathematics,History,620,670,30,28,27,26,28,610,660,650,640,600,630,680,680,670,7
wendyCherianne7806,wendyCherianne7806,NY,Sachem High School East,Farmingville,NY,3.1,2024,Chemistry,History,740,780,25,29,31,32,28,740,720,740,680,770,690,770,720,680,7
gabrielleDelacourt5181,gabrielleDelacourt5181,NY,Brentwood High School,Brentwood,NY,2.7,2024,Physics,Music Theory,550,600,27,23,22,24,25,610,580,610,510,610,580,620,520,560,0
lyndelCartwright8361,lyndelCartwright8361,NY,Patchogue Medford High School,Medford,NY,2.4,2024,Mathematics,Art History,540,590,21,21,18,17,20,460,520,500,510,530,520,530,520,470,6
